Scenario,Condition,MSE (ug/m^3)^2,MAE (ug/m^3),R2 Score
Model A (Full 5-Block: DAE+CNN+BiLSTM+Residual+Attn),Clean,728.7167358398438,19.890989303588867,0.9159395694732666
Model A (Full 5-Block: DAE+CNN+BiLSTM+Residual+Attn),Noisy (Gaussian),719.7893676757812,19.006803512573242,0.916969358921051
Model B (No DAE - BiLSTM+Residual+Attn),Clean,728.8406372070312,16.05210304260254,0.9159252643585205
Model B (No DAE - BiLSTM+Residual+Attn),Noisy (Gaussian),1133.564208984375,22.109210968017578,0.8692387342453003
Model C (No Attention - DAE+CNN+BiLSTM+Residual),Clean,804.559326171875,16.001359939575195,0.9071907997131348
Model C (No Attention - DAE+CNN+BiLSTM+Residual),Noisy (Gaussian),812.8807983398438,17.202939987182617,0.9062308669090271
Model D (Base CNN+BiLSTM+Residual),Clean,701.5347900390625,19.3398380279541,0.919075071811676
Model D (Base CNN+BiLSTM+Residual),Noisy (Gaussian),1190.3450927734375,26.684619903564453,0.8626887798309326
