Scenario,Condition,MSE (ug/m^3)^2,MAE (ug/m^3),R2 Score
Model A (Full 5-Block: DAE+CNN+BiLSTM+Residual+Attn),Clean,1135.7186279296875,21.9827823638916,0.8689901828765869
Model B (No DAE - BiLSTM+Residual+Attn),Clean,1186.9036865234375,21.658048629760742,0.8630858063697815
Model C (No Attention - DAE+CNN+BiLSTM+Residual),Clean,1301.192138671875,22.330055236816406,0.8499021530151367
Model D (Base CNN+BiLSTM+Residual),Clean,1110.70947265625,20.818603515625,0.8718751072883606
